system:index,category_bonus,distance_weighted_score,elevation,land_cover_class,mean_distance_to_water,mean_ndvi,nighttime_light,norm_distance_weighted,num_sources,pressure_score,random,score,slope,tile_id,water_point_population,water_source_category,.geo
50399,0.1,5.767558997047384,1176.1125254452031,20.000000000000025,2000.0,0.5214650896366803,0.41217084074842525,0.28837794985236925,6,1.3994444317287869,0.030948440416300182,0.7522335028647933,3.288764539971181,tile_1845,419.8333333333333,Well,"{""type"":""Polygon"",""coordinates"":[[[34.089999999999996,0.49000000000000005],[34.099999999999994,0.49000000000000016],[34.099999999999994,0.5],[34.09,0.5],[34.089999999999996,0.49000000000000005]]]}"
5943,-0.1,0.879901366477475,1055.006294124347,20.00000000000002,2000.0,0.41867502662439826,0.26595611349448883,0.04399506832387375,2,1.548333333333333,0.031004234534666164,0.3465617349905403,2.9734385079101706,tile_1846,464.5,Sand or Sub-surface Dam,"{""type"":""Polygon"",""coordinates"":[[[32.15,2.1299999999999994],[32.16,2.1299999999999994],[32.16,2.1399999999999997],[32.15,2.1399999999999997],[32.15,2.1299999999999994]]]}"
41033,0.1,1.9107422137055996,1046.609359432022,80.00000000000018,209.36251114455834,0.2042364774144635,0.28211970336221204,0.09553711068527998,2,1.431666649977366,0.03101424174081646,0.5677704406807532,1.342823601963878,tile_1847,429.5,Well,"{""type"":""Polygon"",""coordinates"":[[[33.68,1.1300000000000003],[33.69,1.1300000000000003],[33.69,1.1400000000000001],[33.68,1.1400000000000003],[33.68,1.1300000000000003]]]}"
3214,-0.1,0.0,921.9137149495461,30.00000000000006,2000.0,0.40542973353555717,0.2729647060352213,0.0,0,0,0.031014394262528944,-0.1,2.9593254579458765,tile_1848,0,Unknown,"{""type"":""Polygon"",""coordinates"":[[[32.03,2.440000000000001],[32.04,2.440000000000001],[32.04,2.45],[32.03,2.45],[32.03,2.440000000000001]]]}"
49057,0.1,10.0,1089.347829800074,20.0,2000.0,0.48525692147386945,0.1964149416111317,0.5,51,2.1679738591543214,0.031024341042261372,1.156496732615178,3.2435611551148424,tile_1849,614.5098039215686,Well,"{""type"":""Polygon"",""coordinates"":[[[34.03,0.8700000000000001],[34.040000000000006,0.8700000000000001],[34.04,0.8800000000000001],[34.03000000000001,0.8800000000000002],[34.03,0.8700000000000001]]]}"
40571,0.1,10.0,1043.808818614222,79.99999999999987,282.52157023143485,0.05349422905774076,0.19099607962019305,0.5,75,1.748133331775665,0.031025314683776672,1.050114666355133,0.6410814464162942,tile_1850,502.44,Well,"{""type"":""Polygon"",""coordinates"":[[[33.660000000000004,1.11],[33.669999999999995,1.11],[33.669999999999995,1.1200000000000003],[33.66,1.12],[33.660000000000004,1.11]]]}"
32333,0.1,10.0,1061.4835049727033,19.99999999999993,2000.0,0.34218035778360834,0.20930195828278858,0.5,23,4.533768212968027,0.03104377279527548,1.3479391304347828,2.100528252668106,tile_1851,739.695652173913,Well,"{""type"":""Polygon"",""coordinates"":[[[33.3,1.53],[33.309999999999995,1.5299999999999998],[33.309999999999995,1.54],[33.300000000000004,1.54],[33.3,1.53]]]}"
43929,0.1,1.8083119014425155,1079.4655959189372,30.000000000000167,2000.0,0.25547995319944483,0.23791372257120474,0.09041559507212578,3,0.4140649260437141,0.0310450995512761,0.29136191361420194,1.9595455552928678,tile_1852,90.66666666666667,Well,"{""type"":""Polygon"",""coordinates"":[[[33.8,2.4899999999999998],[33.809999999999995,2.4899999999999998],[33.80999999999999,2.5],[33.8,2.5],[33.8,2.4899999999999998]]]}"
8085,0.1,0.9284898086890312,1130.6783964377976,10.0,2000.0,0.6231158081636083,0.45393687102980784,0.046424490434451564,1,2.503333333333333,0.0310608381000137,0.7972911571011181,3.565483680735972,tile_1853,751.0,Well,"{""type"":""Polygon"",""coordinates"":[[[32.25,0.55],[32.26,0.5500000000000002],[32.26,0.5599999999999999],[32.25,0.56],[32.25,0.55]]]}"
58385,-0.1,0.0,1188.4433258836468,30.0,2000.0,0.15762142546642174,0.18470172854242745,0.0,0,0,0.031074623797554435,-0.1,2.2733755508523594,tile_1854,0,Unknown,"{""type"":""Polygon"",""coordinates"":[[[34.43,2.1499999999999995],[34.440000000000005,2.15],[34.440000000000005,2.1599999999999997],[34.43,2.1599999999999997],[34.43,2.1499999999999995]]]}"
34248,0.1,10.0,1045.2233737621593,29.99999999999995,351.5766072662605,0.32940844922535667,0.2220156830782984,0.5,20,1.3281666812102002,0.031084286787173565,0.93342333624204,2.0030712591022164,tile_1855,338.95,Well,"{""type"":""Polygon"",""coordinates"":[[[33.379999999999995,2.2800000000000007],[33.38999999999999,2.2800000000000002],[33.38999999999999,2.29],[33.37999999999999,2.29],[33.379999999999995,2.2800000000000007]]]}"
33216,0.1,10.0,1059.386192250645,19.999999999999943,2000.0,0.3572879681720131,0.22795293803308522,0.5,33,3.8304040373696218,0.03109434894504226,1.4298242424242424,2.405607988707954,tile_1856,1149.121212121212,Well,"{""type"":""Polygon"",""coordinates"":[[[33.34,1.1600000000000001],[33.349999999999994,1.1600000000000001],[33.349999999999994,1.1700000000000002],[33.339999999999996,1.1700000000000002],[33.34,1.1600000000000001]]]}"
15181,0.1,0.9478225929400185,1194.2409236883761,20.00000000000003,2000.0,0.544193513026836,5.576230409377047,0.04739112964700093,1,16.260000228881836,0.031115983765894084,1.722991129647001,8.588792590115458,tile_1857,4878.0,Well,"{""type"":""Polygon"",""coordinates"":[[[32.559999999999995,0.21000000000000002],[32.57,0.21000000000000002],[32.57,0.22000000000000003],[32.559999999999995,0.22000000000000006],[32.559999999999995,0.21000000000000002]]]}"
23311,0.1,9.559354001835239,1057.5724982419583,20.00000000000001,2000.0,0.33202349333002,0.2686477998658171,0.4779677000917619,18,3.711111059718662,0.031126845770067635,1.319467700091762,2.2191044701410236,tile_1858,707.5,Well,"{""type"":""Polygon"",""coordinates"":[[[32.91,1.0099999999999998],[32.919999999999995,1.0099999999999998],[32.919999999999995,1.02],[32.91,1.0199999999999998],[32.91,1.0099999999999998]]]}"
24051,-0.1,0.0,1034.0,80.0,2000.0,-0.19244891655160604,0.2329333371274612,0.0,0,0,0.031145583706674307,-0.1,0.0,tile_1859,0,Unknown,"{""type"":""Polygon"",""coordinates"":[[[32.94,1.5100000000000002],[32.949999999999996,1.5100000000000002],[32.95,1.5200000000000002],[32.94,1.5200000000000002],[32.94,1.5100000000000002]]]}"
4126,-0.1,0.0,965.1764168294253,10.0,2000.0,0.48922091834675374,0.2742509817142112,0.0,0,0,0.03115413959220137,-0.1,2.9485841402856776,tile_1860,0,Unknown,"{""type"":""Polygon"",""coordinates"":[[[32.07,2.3600000000000003],[32.080000000000005,2.3600000000000008],[32.080000000000005,2.3700000000000006],[32.07,2.3700000000000006],[32.07,2.3600000000000003]]]}"
